Category,Question,Answer
,283. How do you read a file asynchronously?,"You read a file asynchronously using fs.readFile('path/to/file', 'utf8', (err, data) => { ... }). This method is non-blocking. Node.js will read the file in the background and execute the callback function with the file's content once it's finished, without stopping the rest of the application."
,284. How do you write to a file using fs.writeFile()?,"fs.writeFile('path/to/file', 'content', (err) => { ... }) asynchronously writes data to a file. If the file already exists, it will be overwritten. If it doesn't exist, it will be created."
,285. What is the difference between fs.writeFile() and fs.appendFile()?,"fs.writeFile() will create a new file (or overwrite an existing one) with the specified content. fs.appendFile() will append the content to the end of an existing file. If the file does not exist, it will be created."
,286. How do you check if a file exists?,"The recommended modern approach is to use fs.access() to check file permissions, or simply try to operate on the file (e.g., read it) and handle the error if it doesn't exist. The older fs.exists() method is deprecated."
,287. How do you create a directory?,"You can create a directory asynchronously with fs.mkdir('path/to/directory', { recursive: true }, (err) => { ... }). The recursive: true option allows it to create parent directories if they don't exist, similar to mkdir -p."
,288. How do you read the contents of a directory?,"You can read the contents of a directory asynchronously with fs.readdir('path/to/directory', (err, files) => { ... }). The files argument in the callback will be an array of the names of the files in the directory."
,289. How do you delete a file?,"You can delete a file asynchronously using fs.unlink('path/to/file', (err) => { ... })."
,290. How do you rename a file or directory?,"You can rename a file or directory asynchronously using fs.rename('old/path', 'new/path', (err) => { ... }). This can also be used to move a file to a different directory on the same file system."
,291. What is the difference between fs.readFile() and fs.createReadStream()?,"fs.readFile() reads the entire content of a file into a buffer in memory before making it available. This can be memory-intensive for large files. fs.createReadStream() reads the file in small, manageable chunks (a stream), allowing you to process large files without using much memory."
,292. How do you handle errors when working with the fs module?,"For asynchronous methods, you must use the standard error-first callback pattern, where the first argument to the callback is an error object. if (err) { ... }. For synchronous methods, you must use a try...catch block to handle any errors that are thrown."
,293. What is a file descriptor?,A file descriptor is a number (an integer) that uniquely identifies an open file in a computer's operating system. The fs module uses file descriptors to interact with files after they have been opened with fs.open().
,294. Explain the purpose of fs.stat() and what information it provides.,"fs.stat('path', (err, stats) => { ... }) is used to get metadata about a file or directory. The stats object it returns contains information like the file size (stats.size), whether it's a file (stats.isFile()) or a directory (stats.isDirectory()), and timestamps for creation, modification, and last access."
,295. How can you watch for changes in a file or directory?,"You can use fs.watch('path', (eventType, filename) => { ... }) to watch for changes. It's more efficient than fs.watchFile() as it relies on the operating system's native file change notifications."
,296. What is the difference between fs.watch() and fs.watchFile()?,"fs.watch() uses the underlying operating system's features to get notifications about file changes, which is very efficient. fs.watchFile() works by polling—periodically checking the file's stats to see if it has changed—which is less efficient and should be avoided if possible."
,297. How would you recursively delete a directory and its contents?,"As of Node.js v14.14.0, you can use fs.rm('path/to/dir', { recursive: true, force: true }, callback). In older versions, you would have to manually read the directory, delete the files inside, and then delete the directory itself, often requiring a recursive function."
,298. Explain the flags option in functions like fs.open() or fs.writeFile().,"The flags option is a string that specifies the mode in which a file should be opened. For example, 'r' is for reading, 'w' is for writing (overwriting), 'a' is for appending, and 'r+' is for reading and writing. These flags control what operations are permitted on the file."
,299. How do you work with file permissions in Node.js?,"You can read file permissions using fs.stat(), which provides the mode in octal format. You can change file permissions using fs.chmod('path', mode, callback), where mode is an octal number like 0o755."
,300. What are some best practices for file system operations in a high-traffic application?,"Always use the asynchronous methods (readFile, writeFile) to avoid blocking the event loop. For large files, always use streams (createReadStream, createWriteStream) to minimize memory usage. Handle all errors properly to prevent crashes. Be mindful of file descriptor limits on the operating system."
XVII. Networking,301. What is the net module used for?,The net module is a core Node.js module used for creating TCP servers and clients. It provides an asynchronous network API for creating stream-based network applications.
,302. How do you create a simple TCP server?,"You use net.createServer() and pass it a callback that handles new connections. In the callback, you get a socket object for each client. You then call .listen() on the server object to start accepting connections. net.createServer((socket) => { socket.write('hello'); }).listen(3000);"
,303. How do you create a TCP client?,"You use net.createConnection() or net.connect() and provide the port and host. This returns a socket object that you can use to send (socket.write()) and receive (socket.on('data', ...) data."
,304. What is the purpose of the http module?,"The http module is a core Node.js module for creating HTTP servers and clients. It provides a higher-level API than the net module, specifically for working with the HTTP protocol."
,305. What is the difference between http.createServer() and http.request()?,http.createServer() is used on the server side to create an HTTP server instance that listens for and handles incoming requests. http.request() is used on the client side to make an outgoing HTTP request to another server.
,306. How do you make an HTTP GET request from a Node.js application?,"You can use http.get('http://example.com', (res) => { ... }), which is a simpler method for GET requests. For other methods, you use http.request(). Alternatively, you can use third-party libraries like axios or the built-in fetch API (available globally in recent Node.js versions)."
,307. How do you handle data chunks in an HTTP request/response?,"HTTP requests and responses are streams. You listen for the data event to receive data in chunks (req.on('data', (chunk) => ...)). When all chunks have arrived, the end event is fired. You typically collect the chunks and concatenate them in the end event handler."
,308. What is the https module and how does it differ from http?,"The https module is for creating HTTPS servers and clients, which is HTTP over a secure (TLS/SSL) connection. Its API is almost identical to the http module, but it requires an options object with SSL certificate details (key and cert) to create a secure server."
,309. Explain how to handle a POST request with the http module without using a framework like Express.,"You would create an HTTP server, check if req.method === 'POST', and then listen for data events on the request object to collect the incoming body chunks. In the end event handler, you would concatenate the chunks into a complete string or buffer and then process the POST data."
,310. What are sockets?,"In the context of the net module, a socket is an object representing one end of a two-way communication link between two programs running on the network. It is a stream, so it can be read from and written to."
,311. How do you handle socket errors in the net module?,"You should always attach an error event listener to the socket object: socket.on('error', (err) => { ... }). An unhandled error event on a socket will cause the Node.js process to crash."
,312. What is the dgram module used for?,"The dgram module is used for implementing UDP (User Datagram Protocol) datagram sockets. It allows for sending and receiving messages over an unreliable, connectionless protocol."
,313. What is the difference between TCP and UDP? When would you use one over the other?,"TCP (Transmission Control Protocol) is connection-oriented, reliable, and ordered. It guarantees that data arrives intact and in order. Use it for applications where data integrity is critical (e.g., file transfers, web Browse). UDP (User Datagram Protocol) is connectionless, unreliable, and unordered. It's faster but doesn't guarantee delivery. Use it for applications where speed is more important than reliability (e.g., live video streaming, online gaming, DNS)."
,314. How do you create a UDP server and client?,"You use the dgram module. A UDP socket is created with dgram.createSocket('udp4'). A server listens for messages using .bind(port) and the 'message' event. A client sends messages using .send(message, port, host). Unlike TCP, there is no persistent connection."
,315. How do you handle URL parsing in Node.js?,"You can use the built-in URL class. const myURL = new URL('http://example.com/foo?bar=baz'); creates a URL object with properties like protocol, hostname, pathname, and searchParams that you can easily access. The older url.parse() method is now legacy."
,316. What are the key properties of the URL object?,"Key properties include: href (the full URL string), protocol, username, password, host, hostname, port, pathname, search, and searchParams (a URLSearchParams object for easy query string manipulation)."
,317. How do you implement HTTPS in your Node.js server? What is required?,"You use the https module instead of http. To create an HTTPS server with https.createServer(), you must provide an options object containing at least two properties: key (the private key for your SSL certificate) and cert (your primary SSL certificate)."
,318. What is Agent Pooling and http.Agent?,"http.Agent is responsible for managing connection persistence and reuse for HTTP clients. By default, Node.js uses a global Agent that keeps a pool of sockets for future requests to the same host, which improves performance by avoiding the overhead of creating new TCP connections for every request. This is known as agent pooling or connection pooling."
,319. How do you set custom headers on an HTTP request?,"When using http.request(), you can pass a headers object in the options: const options = { hostname: '...', path: '...', method: 'GET', headers: { 'Custom-Header': 'value' } };. When using a library like axios, you would pass a headers object in the configuration."
,320. How do you handle timeouts in HTTP requests?,"You can set a timeout on the request object itself using req.setTimeout(ms, callback) or by setting the timeout property in the options for http.request(). If the timeout is reached, the request will be aborted and the timeout callback or timeout event will be emitted."
XVIII. Modern JavaScript,321. Explain let and const and how they differ from var.,"let and const are ES6 variable declarations that are block-scoped ({}). var is function-scoped. let allows you to declare variables that can be reassigned. const declares variables that cannot be reassigned (they are constant references). Variables declared with var are hoisted and initialized with undefined, while let and const are hoisted but not initialized, creating a ""temporal dead zone."""
,322. What is block scope?,"Block scope is the area within if, switch conditions or for and while loops, or any code block enclosed in curly braces {}. Variables declared with let and const are only accessible within the block they are defined in."
,323. Explain destructuring for objects and arrays.,"Destructuring is a syntax that makes it possible to unpack values from arrays, or properties from objects, into distinct variables. For arrays: const [a, b] = [10, 20];. For objects: const { name, age } = { name: 'Alice', age: 30 };."
,324. What are default parameters in functions?,"Default parameters allow you to initialize function parameters with default values if no value or undefined is passed. Example: function greet(name = 'Guest') { return \Hello, ${name}`; }`."
,325. What are rest parameters and the spread syntax?,Rest Parameters (...): Collects all remaining arguments passed to a function into a single array. It must be the last parameter. function sum(...numbers) { ... }. Spread Syntax (...): Expands an iterable (like an array or string) into individual elements. It's used for making shallow copies of arrays/objects or for passing array elements as individual arguments to a function.
,326. What are Classes in ES6? How do they relate to prototypal inheritance?,"ES6 classes are syntactic sugar over JavaScript's existing prototype-based inheritance. The class syntax provides a clearer and more familiar way to create objects and deal with inheritance, but it does not introduce a new object-oriented inheritance model. Under the hood, it still uses prototypes."
,327. Explain the concept of super() in classes.,super() is used in a class constructor to call the constructor of its parent class. It must be called before the this keyword can be used in a subclass's constructor. You can also use super.methodName() to call a method on the parent class.
,328. What are Map and Set? How do they differ from objects and arrays?,"Map: A collection of keyed data items, like an Object. However, a Map allows keys of any type (not just strings/symbols) and maintains the insertion order of its elements. Set: A collection of unique values of any type. Unlike an Array, a value in a Set may only occur once."
,329. What are WeakMap and WeakSet?,"They are ""weak"" versions of Map and Set. WeakMap and WeakSet can only store objects and hold ""weak"" references to them. This means that if an object stored in a WeakMap/WeakSet has no other references in the program, it can be garbage collected. This is useful for preventing memory leaks."
,330. What is optional chaining (?.)?,"The optional chaining operator (?.) allows you to read the value of a property located deep within a chain of connected objects without having to explicitly validate that each reference in the chain is valid. If a reference is null or undefined, the expression short-circuits and returns undefined."
,331. What is the nullish coalescing operator (??)?,"The nullish coalescing operator (??) is a logical operator that returns its right-hand side operand when its left-hand side operand is null or undefined, and otherwise returns its left-hand side operand. It's a way to provide a default value for null or undefined without treating 0 or '' (empty string) as falsy values like the `"
,332. What are Symbols?,"A Symbol is a built-in object whose constructor returns a unique, immutable, primitive value. Symbols are often used as unique property keys for objects to avoid naming collisions."
,333. Explain iterators and generators.,"Iterator: An object that knows how to access items from a collection one at a time, while keeping track of its current position. It has a next() method that returns an object with value and done properties. Generator: A special type of function (declared with function*) that can be paused and resumed, allowing it to produce a sequence of values over time. It returns an iterator. The yield keyword is used to pause execution and return a value."
,334. How do ES Modules (import/export) differ from CommonJS (require/module.exports)?,"ES Modules: Asynchronous, static (must be at the top level), uses import/export keywords, the standard for modern browsers and Node.js. CommonJS: Synchronous, dynamic (can be called anywhere in the code), uses require/module.exports, the traditional module system in Node.js."
,335. Can you use top-level await in Node.js?,"Yes, starting from Node.js v14.8.0, you can use await at the top level of ES modules without needing to wrap it in an async function. This is useful for initializing applications that need to perform asynchronous setup tasks."
XIX. Tooling and Ecosystem,336. What is nvm or n and why is it useful?,"nvm (Node Version Manager) and n are command-line tools used to manage multiple active Node.js versions on the same machine. They are useful for switching between different Node.js versions required by different projects, allowing you to easily install, uninstall, and select the Node.js version to use."
,337. What is a linter? Name a popular one used for JavaScript.,"A linter is a tool that statically analyzes code to find programming errors, bugs, stylistic errors, and suspicious constructs. It helps enforce coding standards and improve code quality. A very popular linter for JavaScript is ESLint."
,338. What is a formatter? Name a popular one.,"A formatter is a tool that automatically reformats code to conform to a specific style guide, handling things like indentation, spacing, and line breaks. A very popular and opinionated code formatter is Prettier."
,339. What is the purpose of a nodemon?,nodemon is a utility that automatically restarts your Node.js application when it detects file changes in the directory. This is extremely useful during development as it saves you from manually stopping and restarting the server after every code change.
,340. What is yarn and how does it compare to npm?,"Yarn is an alternative package manager for Node.js, similar to npm. It was created to address some of npm's earlier shortcomings, offering faster performance (through parallel installs and caching) and more deterministic installs (via a yarn.lock file). While npm has since adopted many of these features, some developers still prefer Yarn's speed and CLI."
,341. What is the purpose of a .gitignore file?,"A .gitignore file specifies intentionally untracked files and directories that Git should ignore. This is used to prevent generated files (like node_modules, log files, or build outputs) from being committed to the version control repository."
,342. What is a task runner like Gulp or Grunt? Are they still relevant?,"Task runners like Gulp and Grunt are tools used to automate development tasks such as minifying CSS/JavaScript, compiling Sass, and optimizing images. While they were once essential, their relevance has decreased as many of their functions are now handled more efficiently by npm scripts or integrated into module bundlers like Webpack."
,"343. What is a module bundler like Webpack, Rollup, or Parcel?","A module bundler is a tool that takes your JavaScript modules and their dependencies and bundles them into one or more optimized files for the browser. This process can include transpiling, minifying, and other optimizations. Webpack is the most popular, Rollup is known for efficient ""tree shaking,"" and Parcel is known for its zero-configuration setup."
,344. Do you need a bundler for a backend Node.js application? Why or why not?,"Generally, no. Node.js understands CommonJS and ES Modules natively, so there's no need to bundle them for compatibility as you would for a browser. However, a bundler might be used in specific backend scenarios, such as for serverless functions to reduce the package size and improve startup time, or when using TypeScript to compile everything into a single file."
,345. What is Babel and what is its primary purpose?,Babel is a JavaScript transpiler. Its primary purpose is to convert modern ECMAScript (ES6+) code into a backward-compatible version of JavaScript that can run in older browsers or environments that don't support the latest features.
,346. What are source maps?,"A source map is a file that maps the code within a transformed/minified file back to its original source code. This is crucial for debugging, as it allows developers to see their original, readable code in the browser's debugger instead of the compiled and optimized code."
,347. What is tree shaking?,"Tree shaking is a form of dead code elimination. It's a process used by module bundlers (like Rollup and Webpack) to remove unused code from the final bundle. By analyzing import and export statements, it only includes the code that is actually used, which can significantly reduce the final file size."
,348. Explain the concept of monorepos and tools like Lerna or Nx.,"A monorepo is a software development strategy where code for many different projects is stored in the same repository. Tools like Lerna and Nx are specialized tools for managing monorepos. They help with tasks like managing dependencies across projects, running commands on multiple packages at once, and simplifying the process of publishing packages."
,349. What is Docker and how can it be used with Node.js applications?,"Docker is a platform for developing, shipping, and running applications in containers. A container packages an application and all its dependencies (like the Node.js runtime) into a standardized unit. This ensures that the Node.js application runs consistently across different environments, from development to production."
,350. What is a Dockerfile? What are some common instructions for a Node.js app?,"A Dockerfile is a text file that contains instructions for building a Docker image. Common instructions for a Node.js app include: FROM node:18 (specifying the base image), WORKDIR /app (setting the working directory), COPY package*.json ./ (copying dependency manifests), RUN npm ci (installing dependencies), COPY . . (copying app source code), and CMD [""node"", ""server.js""] (specifying the command to run)."
,351. What is Continuous Integration (CI) and Continuous Deployment (CD)?,"CI is the practice of automatically building and testing code every time a developer commits changes to version control. This helps find and fix bugs early. CD is the practice of automatically deploying all code changes that pass the CI stage to a testing or production environment. Together, they form a pipeline that automates the software release process."
,352. How would you set up a basic CI pipeline for a Node.js project?,"A basic CI pipeline (using a tool like GitHub Actions or Jenkins) would: 1. Trigger on every push to the main branch. 2. Set up the correct Node.js version. 3. Install dependencies using npm ci. 4. Run the linter (npm run lint). 5. Run automated tests (npm test). 6. Optionally, build the application (npm run build). The pipeline fails if any step fails."
XX. Scenario-Based,353. Describe the architecture of a Node.js application you have worked on. What were the trade-offs?,"Answer is personal and depends on experience. A sample answer: ""I worked on a RESTful API for a social media application using a microservices architecture. We used Express.js for the API gateway and several backend services (for users, posts, notifications). Communication was handled via RabbitMQ. The trade-off was increased operational complexity (deployment, monitoring) in exchange for better scalability and fault isolation compared to a monolith."""
,354. Your Node.js application is running slow. How would you go about diagnosing the problem?,"1. Analyze: Is it CPU-bound or I/O-bound? Check metrics like CPU usage, memory, and event loop lag. 2. Profile: Use a profiler like Clinic.js or Node's built-in profiler to find CPU bottlenecks (long-running synchronous code). 3. Trace I/O: Use tools to trace slow database queries or API calls. 4. Check Event Loop: High event loop lag indicates blocking operations. 5. Check Memory: Look for memory leaks using heap snapshots."
,355. You have a memory leak in production. What are the steps you would take to find and fix it?,"1. Confirm the leak: Monitor the process's memory usage over time to see if it consistently increases. 2. Get Heap Snapshots: Use node-heapdump or the built-in inspector to capture heap snapshots from the production-like environment at different times (e.g., before and after a spike in usage). 3. Analyze the Snapshots: Load the snapshots into Chrome DevTools and compare them. Look for objects whose count is growing without reason. 4. Identify the Source: Trace the retaining path of the leaking objects to find the root cause in the code (e.g., a global array, an un-cleared cache, or an event listener that's never removed). 5. Fix and Verify: Fix the code and then re-run the tests/monitoring to verify the leak is gone."
,356. How would you design a real-time chat application using Node.js? What technologies would you use?,"I would use a Node.js server with Express.js for handling initial HTTP requests and authentication. For the real-time communication, I would use Socket.IO or the ws library for WebSocket connections. On the backend, I'd use a database like MongoDB for storing messages and Redis for managing user session state or for broadcasting messages across multiple server instances in a scaled environment."
,357. Describe how you would build a scalable job queue system in Node.js.,"I would use a dedicated message broker like RabbitMQ or a robust job queue library like BullMQ (which is built on Redis). The main application would act as a ""producer,"" adding jobs (e.g., sending an email, processing a video) to the queue. Separate Node.js processes (""consumers"" or ""workers"") would listen to the queue, pick up jobs, and process them independently. This decouples the long-running tasks from the main application and allows for scaling the number of workers based on the job load."
,"358. You need to perform a long-running, CPU-intensive task in a web request. How would you handle this without blocking the event loop?","The best approach is to offload the task to a separate thread or process. I would use a worker thread (worker_threads module) for the CPU-intensive calculation. The main thread would receive the request, delegate the task to the worker, and then, upon completion, the worker would send the result back to the main thread, which would then send the response to the user. This keeps the main event loop free to handle other requests."
,"359. How would you design a REST API for a resource that has a one-to-many relationship with another resource (e.g., users and their posts)?",I would use nested routes to represent the relationship. - GET /users/:userId/posts: Get all posts for a specific user. - POST /users/:userId/posts: Create a new post for a specific user. - GET /posts/:postId: Get a specific post by its own ID. The post resource should contain a userId field to link back to the user.
,360. A third-party API your application depends on is unreliable. How do you make your application resilient to its failures?,"I would implement the Circuit Breaker pattern. This pattern monitors for failures. After a certain number of failed requests, it ""opens the circuit"" and immediately fails subsequent requests without calling the API, preventing the application from waiting on a failing service. It will periodically try to ""half-open"" the circuit to see if the API has recovered. Additionally, I would implement retries with exponential backoff for transient errors and use caching to serve stale data if the API is down."
,361. How do you ensure code quality in your team's Node.js projects?,By implementing a combination of tools and processes: 1. Linter and Formatter: Enforce a consistent code style with ESLint and Prettier. 2. Automated Testing: Require high unit and integration test coverage. 3. CI Pipeline: Automatically run linting and tests on every commit. 4. Code Reviews: Mandate peer reviews for all pull requests to catch logical errors and improve design. 5. Typing: Use TypeScript or JSDoc for better type safety.
,362. Explain how you would implement logging and monitoring for a production Node.js application.,"Logging: I'd use a structured logging library like Pino to generate JSON logs. Logs would have different levels (info, debug, warn, error) and would be sent to a centralized logging service (like Datadog, ELK stack, or LogDNA) for easy searching and analysis. Monitoring: I'd use an Application Performance Monitoring (APM) tool like New Relic or Datadog to track key metrics like response time, throughput, error rates, and event loop lag. I would also set up alerts for critical issues like high error rates or CPU usage."
,363. You are deploying a Node.js application for the first time. What are the key things you need to consider for a production environment?,"1. Environment Variables: Manage secrets and configuration properly. 2. Process Manager: Use PM2 or a similar tool to keep the app alive and run it in cluster mode. 3. Logging: Set up production-level logging. 4. Security: Use helmet, set up a firewall, and ensure dependencies are secure. 5. Reverse Proxy: Place a reverse proxy like Nginx in front of the app for load balancing and SSL termination. 6. Monitoring & Alerting: Set up tools to monitor health and performance. 7. Build Process: Use npm ci for deterministic dependency installation."
,"364. How would you handle configuration management for different environments (development, staging, production)?","I would use environment variables. A library like dotenv can be used to load variables from a .env file for local development. In staging and production environments, these variables would be set directly on the host machine or through a cloud provider's configuration service. This avoids hardcoding secrets and allows the same codebase to run with different configurations."
,365. Your application's database is under heavy load. What are some strategies you could implement at the application layer to reduce the load?,"1. Caching: Implement a caching layer (e.g., with Redis) to store the results of frequent and expensive queries. 2. Query Optimization: Analyze and optimize slow queries. Ensure proper indexing. 3. Connection Pooling: Use a connection pool to efficiently manage database connections. 4. Data Pagination: Implement pagination for API endpoints that return large lists of data. 5. Read Replicas: If possible, direct read-heavy traffic to a read replica of the database."
,366. What is your opinion on TypeScript vs. plain JavaScript for a large-scale Node.js project?,"For a large-scale project, TypeScript is generally a better choice. Its static typing provides significant benefits: it catches errors at compile-time instead of runtime, improves code readability and maintainability, and enables better autocompletion and refactoring in IDEs. While it adds a compilation step and a learning curve, these overheads are usually outweighed by the long-term benefits in terms of stability and team collaboration on a large codebase."
,367. How do you stay up-to-date with the latest trends and changes in the Node.js ecosystem?,"Answer is personal. A sample answer: ""I regularly read the official Node.js blog and release notes. I follow key figures and publications in the Node.js community on Twitter and subscribe to newsletters like Node Weekly. I also enjoy watching conference talks and occasionally contributing to or exploring open-source projects to see new patterns in practice."""
,368. Describe a time you had to debug a difficult asynchronous issue.,"Answer is personal and depends on experience. A sample answer: ""I once faced an issue where requests would intermittently time out. There were no obvious errors. By adding detailed logs with unique request IDs, I traced the problem to a complex promise chain where a specific .catch() block was not returning a value, causing the chain to hang indefinitely under certain error conditions. Adding a return statement in the catch block resolved the issue."""
,369. How would you handle versioning for your API?,"I would use URI versioning, including the version number in the URL path (e.g., /api/v1/users). This is the most straightforward and common approach. For breaking changes, I would introduce a new version (e.g., /api/v2/) while maintaining the old version for a deprecation period to give clients time to migrate."
,"370. You need to process a very large (e.g., 10GB) CSV file. How would you do this efficiently in Node.js?","I would use streams. I would create a readable stream from the file using fs.createReadStream(), pipe it to a CSV parsing stream (like csv-parser), and then pipe the results to a transform stream to process each row one by one. This approach processes the file in small chunks, using minimal memory, and avoids loading the entire 10GB file at once."
,371. How would you implement rate limiting on your API? What are different strategies?,"I would use middleware like express-rate-limit. Different strategies include: 1. Fixed Window: A simple approach, allows X requests per time window (e.g., 100 requests/hour). 2. Sliding Window: More accurate, counts requests in a rolling window. 3. Token Bucket: Each user has a bucket of tokens that refill over time. Each request consumes a token. 4. Leaky Bucket: Requests are added to a queue (bucket) and processed at a fixed rate."
,372. Describe a situation where using Node.js was a bad choice.,"Node.js is a bad choice for heavy, CPU-intensive, blocking computations without offloading. For example, building a desktop application for complex 3D rendering or scientific modeling would be better suited to a multi-threaded language like C++ or Java, as Node's single-threaded event loop would be completely blocked by the computations, making the application unresponsive."
,373. How would you secure sensitive data like API keys and credentials in your application?,"Sensitive data should never be hardcoded or committed to version control. They should be managed as environment variables. For local development, use a .env file (which is listed in .gitignore). For production, use a secret management service provided by your cloud host (e.g., AWS Secrets Manager, HashiCorp Vault, or the platform's environment variable configuration)."
,374. Explain the pros and cons of using a microservices architecture versus a monolith for a new project.,"Monolith: Pros: Simpler to start, develop, and deploy initially. No network latency between components. Cons: Becomes hard to scale and maintain as it grows; tight coupling makes updates risky. Microservices: Pros: Scalable, flexible technology choices per service, fault isolation. Cons: High initial setup complexity, challenges with distributed transactions, monitoring, and network latency. For a new project, starting with a well-structured monolith and evolving to microservices as needed is often a good strategy."
,375. You've noticed that one of your worker processes in a cluster is consistently crashing. How would you investigate this?,"1. Centralized Logging: Ensure the worker is logging detailed error information (including stack traces) to a centralized location before it crashes. Check these logs for the specific error causing the crash. 2. Reproduce Locally: Try to reproduce the issue in a local environment with the same Node.js version and dependencies. 3. Memory/CPU Profiling: If the crash is due to out-of-memory errors or CPU spikes, attach a profiler to the worker process to investigate. 4. Isolate the Worker: Log the PID of the crashing worker. You could potentially give it a specific workload to see if the crash is related to a certain type of request."
XXI. Deep Dive & Edge Cases,"376. What is libuv's thread pool, and which APIs typically use it?","It's a pool of threads (default size 4) managed by libuv to handle expensive operations that lack a non-blocking equivalent in the underlying OS. It's used by some fs APIs (like fs.readFile), dns.lookup(), and some crypto APIs (like crypto.pbkdf2). These APIs appear asynchronous to the JavaScript code but are actually blocking on a separate thread."
,"377. Can the event loop get ""stuck""? How?","Yes, the event loop can get ""stuck"" or blocked. This happens when you run a long-running, synchronous piece of code on the main thread. Examples include complex calculations in a tight loop, synchronous I/O operations (fs.readFileSync), or a regular expression that is subject to ""catastrophic backtracking."" While it's stuck, Node.js cannot handle any other events."
,"378. Explain the concept of ""monkey patching"" in Node.js. When might it be used or discouraged?","Monkey patching is the practice of modifying or extending the behavior of existing modules or objects at runtime. For example, you could replace console.log with a custom implementation. It might be used for testing (to mock a function) or for polyfills. It is generally discouraged in production code because it can lead to unpredictable behavior and makes code harder to debug and maintain."
,379. What is the Atomics object and what is its relation to SharedArrayBuffer?,"Atomics is a global object that provides atomic operations for reading and modifying data stored in a SharedArrayBuffer. A SharedArrayBuffer allows memory to be shared between threads (e.g., the main thread and a worker thread). Atomics ensures that these operations are performed without being interrupted, preventing race conditions when multiple threads access the same memory location."
,380. How does Node.js handle DNS resolution internally?,"Node.js has two main DNS methods: dns.lookup(), which uses the underlying OS's getaddrinfo system call (and can use libuv's thread pool, making it blocking on a worker thread), and dns.resolve(), which performs an actual DNS query to a DNS server over the network and is always non-blocking. http requests use dns.lookup() by default."
,"381. What is the difference between Buffer.from(str) and Buffer.from(str, 'utf8')?","There is no functional difference. When a string is passed to Buffer.from(), 'utf8' is the default encoding. Specifying it explicitly just makes the code clearer but does not change the outcome. Both will create a buffer representing the UTF-8 encoded bytes of the string."
,382. How can you read a specific range of bytes from a large file without loading the entire file?,"You would use fs.createReadStream() with start and end options. fs.createReadStream('large.file', { start: 100, end: 199 }) will create a stream that reads only the 100 bytes from the specified range."
,383. What is the string_decoder module used for?,"The string_decoder module is used to decode buffers into strings in a way that correctly handles multi-byte UTF-8 characters that might be split across chunks. If a multi-byte character is split between two buffer chunks, string_decoder will internally hold the incomplete bytes and wait for the next chunk to complete the character, preventing corruption."
,384. Explain the unref() and ref() methods on timer objects.,"Timers (from setTimeout or setInterval) normally keep the Node.js event loop alive. Calling .unref() on a timer object allows the program to exit even if the timer is still active. Calling .ref() on an ""unreferenced"" timer will restore its default behavior, forcing the program to wait for it. This is useful for long-running background tasks that shouldn't keep the application alive on their own."
,385. How do C++ addons work in Node.js? What is N-API?,"C++ addons are dynamically-linked shared objects, written in C++, that can be loaded into Node.js using require(). They provide a way to interface with C++ libraries or write performance-critical code. N-API is an ABI-stable (Application Binary Interface) C API for building native addons. It abstracts away the underlying V8 changes, meaning addons built with N-API are more likely to work across different Node.js versions without needing to be recompiled."
,"386. What is the Global Interpreter Lock (GIL) in other languages, and why is its absence in Node.js (for JavaScript) significant?","The GIL is a mutex used in languages like CPython that prevents multiple native threads from executing interpreter bytecodes at the same time, effectively making the interpreter single-threaded. Node.js (V8) does not have a GIL for JavaScript execution. This is significant because while JavaScript itself is single-threaded, Node.js can achieve concurrency for I/O operations through its event-driven model and libuv. For CPU-bound tasks, it uses worker threads, which run in parallel without a GIL."
,387. How can you implement a graceful shutdown in a Node.js server?,"A graceful shutdown ensures all ongoing requests are finished and resources are cleaned up before the process exits. You listen for termination signals like SIGINT (Ctrl+C) and SIGTERM. In the signal handler, you: 1. Stop the server from accepting new connections (server.close()). 2. Close database connections, etc. 3. Wait for existing connections to finish. 4. Finally, exit the process (process.exit(0))."
,388. What happens to in-flight requests when a Node.js process crashes?,"When the process crashes, the underlying TCP connections are abruptly terminated. The clients who made those in-flight requests will receive a connection reset error. There is no graceful response. This is why using a process manager to restart the process and a reverse proxy/load balancer to redirect traffic is crucial for reliability."
,389. What is the purpose of the .mjs and .cjs file extensions?,They provide an unambiguous way to tell the Node.js runtime whether a file is an ES Module or a CommonJS module. .mjs files are always treated as ES Modules (import/export). .cjs files are always treated as CommonJS modules (require/module.exports). This is useful when you need to mix module types in a project.
,390. Explain how async_hooks can be used.,"async_hooks is an experimental core API that provides insight into the lifecycle of asynchronous resources in a Node.js application. It can be used to track when async operations are initiated, when they complete, and what caused them. A common use case is to implement continuation-local storage, allowing you to track a request's context (like a request ID) across multiple async operations without passing it as a parameter."
,391. What is continuation-local storage and what problem does it solve?,"Continuation-local storage (CLS) is a mechanism to store state that is specific to a single asynchronous execution chain (like an HTTP request). It solves the problem of tracking context (e.g., a transaction ID or user session) through a series of asynchronous calls without having to pass the context object as a parameter to every function in the chain. The async_hooks module provides the foundation for implementing this."
,392. How does Error.captureStackTrace work?,"Error.captureStackTrace(targetObject[, constructorOpt]) is a V8-specific function that creates a .stack property on a targetObject. It captures a snapshot of the call stack at the current position. It's often used when creating custom error classes to provide a meaningful stack trace that starts from where the error was instantiated, not from within the error's constructor itself."
